Artist,es,en
6 Voltios,"6 Voltios es una banda peruana de punk rock, Ska punk formada en 1998, cuya formacn csica estuvo compuesta por Alexis Korfiatis, Emilio Bruce y Mauricio Llona. La banda alcan la popularidad en 1999, o en que lanzaron su primerlbum Desde el tano llegando a ser una de las s representativas del nero. 6 Voltios ha publicado 6 discos de estudio, todos con aceptacn del blico peruano y de Arica Latina. Ha ofrecido conciertos por todo el Pe siendo Chile elnico ps al que ha salido.

El nombre ""6 Voltios"" fue elegido porque en los inicios de la banda, cuando tocaban en el colegio, eran seis integrantes por lo cual eligieron ""6"" voltios, pero con el pasar del tiempo solo quedaron los tres integrantes actuales. Las letras de sus canciones tratan sobre desamor y vivencias."
Abelardo squez,"Abelardo Vasquez nac en Lima el 2 de enero de 1929. Hijo del legendario Porfirio squez. Estuvo casado con Marilu Loncharich. Gran amigo del compositor Manuel Acosta Ojeda.
En 1984, crea la PaDon Porfiri en la esquina de Bolognesi y Segura en Barranco.
Fallece el 24 de abril del 2001 en Lima. Sus restos fueron velados en su domicilio del distrito de Barranco."
Abencia Meza,
Adammo,dammo es una banda de power pop peruana. Es integrada por Ezio Oliva (voz), Renzo Bravo (bajo y coros) y Diego Ubierna (guitarra astica). El nombre de la banda proviene de un dialecto griego que quiere decir: ""Placer de hacer algo"", para este caso placer de hacer sica."
Aeropajitas,"Aeropajitas nace de los residuos de una banda llamada Porka Vida (ex stupefacientes) , donde estaban Pedro Psicosis, Mario inocente , Raul y Xavier, al irse Raul se cambia el nombre y se busca nuevo batero quedando primera formacion de Aeropajitas: con Mario en la voz, Pedro guitarra, To bateria y Xavier bajo, esto sucedia a comienzos de 1994, en marzo de ese o debuta la banda en el pub Nardos de zarate junto, a Leusemia y los Magnifikos Reventados.

En el o 1995, graban su primera maketaPorka Vid, grabada en los estudios el Techo, su segunda maketa tituladaKria Kuervo salio en 1998, luego vendrianAeropajitas 95 - 0 del 2000 un compilado de las dos maketas anteriores mas otras canciones, un disco en vivo del 2004 y su ultima produccion elKepoka de Mierd del 2005. "
Agua Bella,"Agua Bella es un grupo femenino de tecnocumbia o cumbia peruana, formado a finales del o 1999. Se caracteriza por tener de vocalistas a cantantes consideradas atractivas, las cuales combinan la fuerza y calidad vocal con la sensualidad del baile. Alcanzaron elxito en el Pe y otros pses a mediados de los 2000, debido al boom de la tecnocumbia peruana."
Agua Marina,"Agua Marina es un grupo de Cumbia Peruana o Sorella, que fue formado en la ciudad de Sechura, Piura, en 1976.
Es considerado, junto con Armoa 10, agrupacn de la misma regn, pieza importante en el afianzamiento de la cumbia peruana como nero."
Alfredo Leturia,"Don Alfredo Eugenio Leturia Almenara (1916 - 2002), fue un distinguido cantor de nuestra cancn criolla, nac en el Jin Gara Naranjo, distrito de la Victoria (Lima) el 03 de Setiembre de 1916."
Alfredo Linares y su Sonora,"Alfredo ""Sabor"" Linares es compositor, arreglista y pianista. Nac el 27 de enero de 1944 en el distrito de Barrios Altos, en Lima. Sus padres fueronngel Mariano Linares Salas (nacido en Arequipa, especialista en la refaccn y afinacn de pianos) y Aurora Saucedo Veneces (quien nac en Trujillo, ciudad de la costa norte peruana). Ambos influyeron en gran medida para que Alfredo Linares se dedicara a la sica.

De no, Alfredo tocaba los teclados de los pianos que su padre reparaba, por lo que es posible pensar que es al donde surg su gran aficn por la sica. A los diez os de edad ya dejaba ver sus dotes y su virtuosismo interpretando el piano, y con lo 13 os de edad gra un sencillo en 45 rpm con un cantante de nombre Koky Palacios. Por la mismapoca, reali tambn una grabacn con una sonora de nombre ""La Sonora Antillana"". El tema se titu ""En el momento de Dios"".

Estud sica en el Conservatorio Nacional, y escuchaba y aprena de grandes representantes del Jazz como Miles Davis, Tony Williams, Charlie Parker, Cannonball Adderley, Bill Evans, John Coltrane, Oscar Peterson y Art Tatum. De igual forma se vio influenciado por el movimiento musical que se desarrollaba en los os sesenta en Nueva York gracias a sicos venes. Este movimiento estaba representado en el Boogaloo, la Pachanga y otros ritmos caribos, y se caracterizaba por los formatos musicales pequos, como el sexteto de Joe Cuba.

Pero eso no es todo. Linares tambn estud los estilos de Pedro Nolasco stiz Rodguez, conocido como Perucn, Bebo Vals, cuyo nombre ""de pila"" era Dionisio Ran Emilio Vals Amaro y Ezequiel Lino Fas mez, Lino Fas, tres grandes pianistas cubanos. Una de las grandes influencias para Alfredo Linares fue, sin duda, La Sonora Matancera.

En 1960, a sus 16 os, ya era egresado del Conservatorio Nacional de sica. Ades de pianista, arreglista y director de orquesta, reconocido y solicitado por muchas agrupaciones, se hizo dominador de otros instrumentos musicales como el bajo, el vibfono, la guitarra, la trompeta, el saxo, la flauta, las congas, el bon y los timbales.

Pcticamente por sus propios medios, Alfredo Linares se abr paso en la sica y se convirt en uno de los s avezados de la sica latina en la hermana republica del Pe. Traba con otros grandes de su ps, como Mario Allison, Coco Lagos, y Nilo Espinosa. Tambn ha tocado con grandes orquestas salseras y tropicales del Pe y otros pses como Colombia y Venezuela, entre las que se cuentan: Coco Lagos y Sus Orates,ico Estrada, El Combo de Pepe, Juln y su Combo, Los Afroins, El Grupo Clase de los hermanos Rarez, Piper Pimienta az, Willy Salcedo, La Billos Caracas Boys, La Banda y su Salsa Joven, La Salsa Mayor, Los Pachecos, La Gran Banda De Venezuela, Grupo Mango, Orquesta Zafra y la Orquesta Madison. Tambn hizo arreglos para Jo Ls Rodguez ""El Puma"".

Su primera agrupacn, a finales de la cada del sesenta, se lla ""Alfredito Linares y su Salsa Alls Stars"". Luego se lla ""Alfredo Linares y Su Sonora"", con la cual gra los discos El Pito y otrosxitos y Yo Traigo Boogaloo. Por esapoca tambn gra algunos discos en formato de 45 rpm. Posteriormente incorpo una seccn de dos trombones a su conjunto, y cr una orquesta de salsa, Alfredito Linares y Su Orquesta, con la que gra el disco Boogaloo en Ambiente. Unlbum crucial en su vida arstica fue Alfredo Linares Y Su Salsa Stars, Sensacionales. Este LP inclu el s grandexito de Alfredito Linares en su carrera musical: el tema ""Tiahuanaco"", lan jazz al que tambn se le llama ""Puerta del Sol"". Tal como dice Enrique Vigil en la gina www.mambo-inn.com la cancn ""tiene todo un significado hisrico, porque representa a una de las s importantes culturas pre-incas. La cultura Tiahuanaco habi a orillas del Lago Titicaca y sus descendientes, los aymaras, n contian viviendo en la zona"".

Otroslbumes de Alfredo Linares son: SalsA Todo Sabor, Mi Nuevo Ritmo, A Escondidas Lloras y otros que se encuentra resados en la discograa de este talentoso sico insigne de nuestra sica proveniente del Pe.

En el mundo de la Salsa, Alfredito Linares reali grabaciones en muchos de los ritmos que hacen parte de la misma, tales como la pachanga, el guaguan, el bolero, la descarga, el son montuno, la guaracha, el boogaloo, el soul latino, la bomba y el bolero tmico.

Ya son casi seis cadas que Alfredo Linares ha dedicado a la sica, cinco de ellas realizando producciones, composiciones y grabaciones, convirtndose en un embajador, no solo del Pe sino tambn de Venezuela y Colombia, pses en los que ha pasado parte de su vida. "
Alicia Delgado,"Alicia Luisa Delgado Hilario, s conocida como Alicia Delgado (On, 6 de mayo de 1959 - Lima, 24 de junio de 2009), fue una cantante folcrica peruana, quien incursio el arpa definitivamente en elmbito vernacular."
Alicia Magua,"Nac en 1938, hija de Alfredo Magua Suero, natural de Huaraz y Alicia laga, natural de Arequipa, es una distinguida cantautora que ha abarcado casi todos los neros de sica peruana. Investigadora acuciosa, alter con grandes de la jarana criolla, como los hermanos Ascuez, Manuel Quintana y El Canario Negro. Recorr todo el ps, para nutrirse de huaynos, mulisas, huaylas, tonderos y marineras y luego producir obras como: ""Viva el Pe y sereno"", ""Indio"", ""La apadora"", ""Augusto duo del santo"" y ""Soledad sola"".
Alicia no lo se ha distinguido como exquisita inrprete sino tambn como ardiente defensora de los derechos de autores y compositores, y por su labor de difusn de nuestra sica a tras de los medios de comunicacn."
Alonso Acosta,"Inic sus estudios a la edad de 8 os en la especialidad de piano del Conservatorio Nacional de sica (CNM), traslandose luego a Percusn Csica donde se graa con rito en el o 2001. Actualmente es profesor de la especialidad en el CNM. Desarrolla una ardua labor como solista de marimba, vibfono y percusn contemponea en el medio local, estrenando varias obras de compositores peruanos y extranjeros tanto en Lima como en provincias.
Ha realizado viajes a convenciones, festivales y seminarios en EEUU, Europa y Sudarica, participando en el II Concurso Mundial de Vibfono 2002 (Clermont-Ferrand, Francia), llegando a etapas finales y obteniendo un premio especial del comi organizador.
A tras de su vivencia musical incursiona en la composicn como una necesidad de motivacn constante paral y sus alumnos, explorando las diversas posibilidades de los instrumentos."
Amanda Portales,"Amanda Portales es una cantante e inrprete de folclore del Pe, con s de 46 os de trayectoria arstica.
Nac en la ciudad de Lima un 7 de julio. Hija de Irene Sotelo Monge natural de Yauyos y Lucio Portales Orizano originario de Hnuco. Se inicia en el canto a temprana edad, ya que fue criada en el seno de una familia de artistas, su madre es cantante de folklore peruano y su padre, violinista y director de una Orquesta folkrica. Con previa autorizacn de un juez de menores y con la calificacn de la antigua Casa de la Cultura (ahora Ministerio de Cultura del Pe), ubicada en Lima, Amanda empieza desde muy na bailando y cantando en una compa de artistas conformada por sus padres y diversos artistas de lapoca, en el antiguo coliseo. Su primer seunimo fue ""La Mascotita de Hnuco"" ya que cantaba sica de la zona, desps adopta el nombre de ""Ccapacc Tika"" cantando sica del Cuzco, en la adolescencia se convierte en ""Flor Collavina"" ya que cantaba sica de Puno. Ya en la juventud adopta los nombres de ""Amanda del Mantaro"", ""Amanda de los Andes"", ""Flor Amanda"", ""La Novia de Jun"", ya que en una plaza de toros en Jun se presen con la indumentaria del lugar pero solo de color blanco; y poco desps el periodista Antonio Moz Monge le da el apelativo de ""La Novia del Pe"", ya que para esapoca no solo interpretaba sica de una sola regn, sino de diversos lugares del Pe.
Hasta ahora, durante toda su carrera arstica, tuvo la oportunidad de viajar a diversos pses de Europa, Asia y Arica. Reconocida por el Estado Peruano con la Orden al rito por Servicios Distinguidos en el grado de Comendador en el o 2006 y como ""Excelencia Arstica 2004"" otorgado por la Universidad Nacional Mayor de San Marcos.
En lasltimas 3 cadas estuvo a cargo de la produccn y direccn del programa Radial ""Fiesta Andina"", y en el 2012 cuenta con un programa televisivo por cable en la zona norte de Lima."
Ands Prado,"Ands Prado es un referente de la Guitarra Jazz en el Pe, mo sico y profesor, su nombre ha ganado un gran pretigio en nuestra escena musical."ngel Loban,ngel Loban fue un humilde pescador de Pucusana que interpre nuevas versiones de temas peruanos uniendo el son y el bolero.  Fallec en el o 2009, dejando como legado una produccn llamada ""Afro Peruano Son"" que recolecta sus principales temas."
Antiestika,"La historia de la banda es algo curiosa todo empezo una noche en que curiosamente por cuestiones de salud ni Eduardo ni Charly podian tomar licor y como recien se conocian, luego de algunos conciertos y conversando sobre sus experiencias con sus otras bandas se sorprendieron al notar que ambos siempre haan querido formar una banda ska Punk.
Ante tal coincidencia y siendo tan amigos no tardaron en reunirse para juntar nombres de los integrantes que faltaban y los nombres de Sergio, Lucho y Aldo aparecieron en el acto , luego venda la trabajosa tarea de encontrar vientos y bueno aparecieron Eduardo Becerra y Junior Rivera para tocar Trombn y Trompeta respectivamente, completando al grupo.
Luego de varios ensayos y mucsimas s borracheras juntos, luego de formar una amistad sorprendentemente pida e inquebrantable amistad capaz de hermanarlos incluso mas al de la sica, luego de varias y extensas conversaciones sobre como dice la cancn desamor, malas historias y sobretodo revolucn y de la composicn y arreglo de varios temas la banda se anima a grabar su primera maqueta. "
Antonio Cartagena,"Nace arsticamente en 1990 proveniente de una familia humilde con rces afro peruanas, naciente en la provincia Constitucional del Callao (Bellavista) y habiendo cursado estudios superiores en la Polia Nacional del Pe y una mitad de carrera en el curso de Psicoloa de la Universidad San Marn de Porres (USMP), pudiendo s el arte se consagra presentando su primerxito ""Sin ti"" perteneciendo en ese instante a la Orquesta Pe Salsa All Star al mismo tiempo es invitado para grabar canciones comoN yTengo todo excepto a  por la Orquesta del prestigioso Oscar ""Pin"" nchez La Sensual 990.
Logrando una mayor aceptacn las demandas de trabajo no se hicieron esperar en todo el litoral peruano por tal motivo es que Antonio Cartagena se traza metas importantes como la conquista de otros pses ran des para que en 1991 produzca su primer disco como solista con 10 temas donde resaltaron canciones como; Seceme y Necesito un amor. ndose a conocer en pses como Colombia, Venezuela y parte de Estados Unidos. "
Arena Hash,"Arena Hash fue una banda peruana de Rock formada en 1986 por Pedro Srez-rtiz como voz y guitarra, Patricio Srez-rtiz en el bajo, Christian Meier en los teclados y Arturo Pomar Jr. en la batea."
Armoa 10,"Armoa 10 es una orquesta que nace en el o de 1972, cuyo fundador fue el Sr. Juan de Dios Lozada Naquiche, en un primer momento, se lla Walkers Star, posteriormente se denomi Armoa 10, ya que sus integrantes eran 10 sicos. En sus inicios su centro de difusn fue Piura, ha pasado el tiempo y esta orquesta ha logrado expandirse por todo el Pe y Arica Latina. La decisn de seguir avanzando con su sica, fue el anhelo y deseo del fundador, actualmente sus hijos contian con ese objetivo, y lo vienen cumpliendo. En el o de 1982, Alberto Mara, productor del sello discogficoInfopes, lle a Piura con el grupoBio Chip y llega a escuchar Armoa 10 y los convence para grabar su primer disco, cuyos temas fueronEnfermer,Ca con Ro, yUn cigarrillo, una guitarra y una pen, teniendo un gran Exito en la demanda de dicho disco de 45, logrando una inmediata aceptacn en todo el norte y la frontera con Ecuador, por lo que firmaron nuevamente un contrato con Infopesa y en 1985 graban su primer larga duracn denominadoEl Chinchorr que trae temas comoLadn de Amo,lo estoy tomand,Llorando se fu, yEl cervecer, con la direccn Walter Lozada en el teclado, William Pa y Jorge Villaseca en percusion, Wilmer Pa en la primera guitarra, Koky Alvarez en el bajo, Ernesto Dedios en el tromn, mulo Carrera en la primera trompeta,Macuc Gallardo, Percy Chapay, sar Saavedra y CarlosTell Pazos en las voces. "
